date,store,item,sales
2018/10/12,1,1,0.050779113
2018/10/13,1,1,0.051283157
2018/10/14,1,1,0.051367717
2018/10/15,1,1,0.057552203
2018/10/16,1,1,0.057643396
2018/10/17,1,1,0.057333342
2018/10/18,1,1,0.055468048
2018/10/19,1,1,0.054438405
2018/10/20,1,1,0.055436545
2018/10/21,1,1,0.055615613
2018/10/22,1,1,0.055164627
2018/10/23,1,1,0.054715298
2018/10/24,1,1,0.054748459
2018/10/25,1,1,0.054355504
2018/10/26,1,1,0.054405245
2018/10/27,1,1,0.054143274
2018/10/28,1,1,0.054008973
2018/10/29,1,1,0.051503676
2018/10/30,1,1,0.051349478
2018/10/31,1,1,0.05201601
2018/11/1,1,1,0.052589692
2018/11/2,1,1,0.052990937
2018/11/3,1,1,0.052352592
2018/11/4,1,1,0.053877988
2018/11/5,1,1,0.053571251
2018/11/6,1,1,0.054285866
2018/11/7,1,1,0.05532214
2018/11/8,1,1,0.053808351
2018/11/9,1,1,0.052780366
2018/11/10,1,1,0.05303073
2018/11/11,1,1,0.053345758
2018/11/12,1,1,0.053161715
2018/11/13,1,1,0.053065549
2018/11/14,1,1,0.043336174
2018/11/15,1,1,0.041288496
2018/11/16,1,1,0.039917297
2018/11/17,1,1,0.039678539
2018/11/18,1,1,0.040283724
2018/11/19,1,1,0.027442209
2018/11/20,1,1,0.021486532
2018/11/21,1,1,0.023378355
2018/11/22,1,1,0.018691077
2018/11/23,1,1,0.019387454
2018/11/24,1,1,0.011468658
2018/11/25,1,1,0.013819758
2018/11/26,1,1,0.010085853
2018/11/27,1,1,0.010574975
2018/11/28,1,1,0.017188894
2018/11/29,1,1,0.017704544
2018/11/30,1,1,0.013446699
2018/12/1,1,1,0.016041531
2018/12/2,1,1,0.015447952
2018/12/3,1,1,0.011093941
2018/12/4,1,1,0.012100371
2018/12/5,1,1,0.009001496
2018/12/6,1,1,0.004640852
2018/12/7,1,1,0.003208306
2018/12/8,1,1,0.003344265
2018/12/9,1,1,0.005617437
2018/12/10,1,1,0.003843335
2018/12/11,1,1,0.00296789
2018/12/12,1,1,0.003936185
2018/12/13,1,1,0.001435862
2018/12/14,1,1,0.000316686
2018/12/15,1,1,0
2018/12/16,1,1,0.000318344
2018/12/17,1,1,0.004931009
2018/12/18,1,1,0.007283767
2018/12/19,1,1,0.007600452
2018/12/20,1,1,0.014048567
2018/12/21,1,1,0.010316321
2018/12/22,1,1,0.012198195
2018/12/23,1,1,0.011866588
2018/12/24,1,1,0.013221206
2018/12/25,1,1,0.008850614
2018/12/26,1,1,0.009367922
2018/12/27,1,1,0.005939097
2018/12/28,1,1,0.010493731
2018/12/29,1,1,0.007927086
2018/12/30,1,1,0.009721085
2018/12/31,1,1,0.007970195
2019/1/1,1,1,0.009628234
2019/1/2,1,1,0.010696012
2019/1/3,1,1,0.009142429
2019/1/4,1,1,0.009517146
2019/1/5,1,1,0.009230305
2019/1/6,1,1,0.012856437
2019/1/7,1,1,0.012554674
2019/1/8,1,1,0.012307626
2019/1/9,1,1,0.012423689
2019/1/10,1,1,0.006217648
2019/1/11,1,1,0.006429877
2019/1/12,1,1,0.006109875
2019/1/13,1,1,0.004335773
2019/1/14,1,1,0.006788013
2019/1/15,1,1,0.005680443
2019/1/16,1,1,0.005957335
2019/1/17,1,1,0.006594022
2019/1/18,1,1,0.00624915
2019/1/19,1,1,0.007446255
2019/1/20,1,1,0.005199611
2019/1/21,1,1,0.005106761
2019/1/22,1,1,0.00582635
2019/1/23,1,1,0.005517955
2019/1/24,1,1,0.005730184
2019/1/25,1,1,0.005692049
2019/1/26,1,1,0.005673811
2019/1/27,1,1,0.005420131
2019/1/28,1,1,0.003549862
2019/1/29,1,1,0.003085611
2019/1/30,1,1,0.003835045
2019/1/31,1,1,0.003457012
2019/2/1,1,1,0.00396603
2019/2/2,1,1,0.004539712
2019/2/3,1,1,0.003820123
